fecha,muestreo,idplot,zona,x,y,tipoplot,observadores,positiva,heces,huellas,hozadas,suphozadam2,habitat,cobsd,anysign_tot,anysign_yn,hozadas_yn,huellas_yn,heces_yn,id,soiltype_rev
11/8/2022,AGO 22,P14,SUR,383400,6469163,EXTRA,AdM-ER,0,0,0,0,0,SIOSEL_PAJONAL,5,0,0,0,0,0,P14,3
7/8/2021,AGO 21,P14,SUR,383400,6469163,EXTRA,AdM-SS-JA,1,0,1,4,"0,164000004529953",SIOSEL_PAJONAL,10,5,1,1,1,0,P14,3
19/2/2022,FEB 22,P14,SUR,383400,6469163,EXTRA,AF-RD-SRV,1,2,0,11,"13,8430004119873",SIOSEL_PAJONAL,5,13,1,1,0,1,P14,7
9/2/2021,FEB 21,P14,SUR,383400,6469163,EXTRA,NM - GN ,1,0,0,8,"10,0830001831055",SIOSEL_PAJONAL,0,8,1,1,0,0,P14,7
15/2/2022,FEB 22,S01,SUR,"375211,6875",6473639,PRIMARIA,AF-RD,1,0,0,1,"0,257999986410141",SIOSEL_ARBUSTAL,40,1,1,1,0,0,S01,2
12/8/2021,AGO 21,S01,SUR,"375211,6875",6473639,PRIMARIA,GN-CS-NM,1,0,2,0,0,SIOSEL_ARBUSTAL,10,2,1,0,1,0,S01,3
8/8/2022,AGO 22,S01,SUR,"375211,6875",6473639,PRIMARIA,AT-ER-SM,1,0,13,0,0,SIOSEL_ARBUSTAL,15,13,1,0,1,0,S01,3
14/2/2020,FEB 20,S01,SUR,"375211,6875",6473639,PRIMARIA,GN-AF-SS,0,0,0,0,0,SIOSEL_ARBUSTAL,1,0,0,0,0,0,S01,3
2/2/2021,FEB 21,S01,SUR,"375211,6875",6473639,PRIMARIA,GN - BH - VL - RG,0,0,0,0,0,SIOSEL_ARBUSTAL,5,0,0,0,0,0,S01,7
15/2/2022,FEB 22,S02,SUR,"375556,6875",6473624,PRIMARIA,MP-AdM,0,0,0,0,0,SIOSEL_PASTIZAL,10,0,0,0,0,0,S02,2
8/8/2022,AGO 22,S02,SUR,"375556,6875",6473624,PRIMARIA,RD-SRV-NM,0,0,0,0,0,SIOSEL_PASTIZAL,5,0,0,0,0,0,S02,2
2/2/2021,FEB 21,S02,SUR,"375556,6875",6473624,PRIMARIA,AT - BD - NM,0,0,0,0,0,SIOSEL_PASTIZAL,5,0,0,0,0,0,S02,2
12/8/2021,AGO 21,S02,SUR,"375556,6875",6473624,PRIMARIA,PAF-JA,0,0,0,0,0,SIOSEL_PASTIZAL,5,0,0,0,0,0,S02,2
14/2/2020,FEB 20,S02,SUR,"375556,6875",6473624,PRIMARIA,GN-AF-SS,0,0,0,0,0,SIOSEL_PASTIZAL,0,0,0,0,0,0,S02,2
14/2/2020,FEB 20,S03,SUR,"375076,6875",6472754,PRIMARIA,GN-AF-SS,0,0,0,0,0,BOSQUE_SUELODESNUDO,5,0,0,0,0,0,S03,7
2/2/2021,FEB 21,S03,SUR,"375076,6875",6472754,PRIMARIA,AdM - FS - RD,0,0,0,0,0,BOSQUE_SUELODESNUDO,40,0,0,0,0,0,S03,7
15/2/2022,FEB 22,S03,SUR,"375076,6875",6472754,PRIMARIA,GN-NP,1,1,0,0,0,BOSQUE_SUELODESNUDO,100,1,1,0,0,1,S03,7
8/8/2022,AGO 22,S03,SUR,"375076,6875",6472754,PRIMARIA,AdM-GC,1,4,0,8,"0,0949999988079071",BOSQUE_SUELODESNUDO,0,12,1,1,0,1,S03,7
